"Comment","Designator","Footprint","LCSC PN"
"100nF","C1,C12,C15,C16,C17,C19,C20,C21,C22,C23,C24,C25,C26","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"4.7uF","C2","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"22uF","C3,C4,C5","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"10uF","C6,C9","Capacitor_SMD:C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",""
"10uF","C7,C8,C10,C18","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"100nF","C11","Capacitor_SMD:C_0402_1005Metric_Pad0.74x0.62mm_HandSolder","C155422"
"47pF","C13,C14","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"LED","D1,D2,D3,D4,D5,D6","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"MI0805K601R-10","FB1","Inductor_SMD:L_0805_2012Metric_Pad1.15x1.40mm_HandSolder",""
"USB_C_Receptacle_USB2.0_16P","J1","CustomComponents:CUI_UJ20-C-V-C-3-SMT-TR",""
"Conn_01x10_Pin","J2","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x06_Pin","J3,J4,J5","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"1.5u","L1","Inductor_SMD:L_Coilcraft_XxL4020","C3033018"
"10k","R1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"5.1k","R2,R3,R6,R27,R28,R29","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"27","R4,R5","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"100k","R7","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"0","R8","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"1k","R9,R10,R11,R12,R13,R14","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"SW_DPST_x2_Custom","SW1","Button_Switch_SMD:SW_SPST_PTS647_Sx38",""
"8468-11B1-RK-TP","U1","Package_LCC:PLCC-68_THT-Socket",""
"TLV809EA46DBZR","U2","Package_TO_SOT_SMD:SOT-23",""
"TPS630701RNMT","U3","CustomComponents:RNM0015A","C181473"
"FT240XS","U4","Package_SO:SSOP-24_3.9x8.7mm_P0.635mm","C69082"
"LD1117S33TR_SOT223","U5","Package_TO_SOT_SMD:SOT-223-3_TabPin2","LD1117S33TR"
"8444-11B1-RK-TP","U6","TO_11B1-RK-TP_3MM",""
"4832-6000-CP","U7,U8","Package_DIP:DIP-32_W15.24mm_Socket",""
"MC68000FN","U9","Package_LCC:PLCC-68_THT-Socket",""
"AS7C1026B-12JCN","U10","Package_SO:SOJ-44_10.16x28.575mm_P1.27mm",""
"XC9572XL-PC44","U11","Package_LCC:PLCC-44_THT-Socket",""
"SST39SF040-70-4C-PHE","U12,U13","Package_DIP:DIP-32_W15.24mm_Socket_LongPads",""
"CXO_DIP8","Y1","Oscillator:Oscillator_DIP-8",""
