Designator,Value,Package,Mid X,Mid Y,Rotation,Layer
"C1","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",18.339800,82.040200,-90.000000,top
"C2","4.7uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.039800,82.029800,-90.000000,top
"C3","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.762500,87.450000,180.000000,top
"C4","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",89.300000,91.850000,-90.000000,top
"C5","22uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",86.200000,90.600000,-90.000000,top
"C6","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",78.192400,85.061200,90.000000,top
"C7","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.924600,90.640400,0.000000,top
"C8","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",74.903100,87.440000,0.000000,top
"C9","10uF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",84.364600,84.655900,-90.000000,top
"C10","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",3.889800,80.815200,-90.000000,top
"C11","100nF","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",82.464800,82.715200,0.000000,top
"C12","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",23.200000,90.440200,0.000000,top
"C13","47pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.860000,82.084500,-90.000000,top
"C14","47pF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",12.852000,86.920000,90.000000,top
"C15","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",92.039800,28.840200,-90.000000,top
"C16","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",55.969800,27.950200,90.000000,top
"C17","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",70.800000,81.500000,180.000000,top
"C18","10uF","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",65.762500,81.400000,180.000000,top
"C19","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",87.015200,74.550000,0.000000,top
"C20","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.264800,51.940200,0.000000,top
"C21","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",16.200000,68.500000,180.000000,top
"C22","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",56.714800,90.590200,180.000000,top
"C23","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",33.839800,78.765200,-90.000000,top
"C24","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",33.939800,72.115200,180.000000,top
"C25","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",31.264800,2.615200,180.000000,top
"C26","100nF","C_0603_1608Metric_Pad1.08x0.95mm_HandSolder",1.764800,3.440200,90.000000,top
"D1","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",89.414800,80.365200,0.000000,top
